event,timestamp,ufos,materialized_chunks,intended_memory_usage,apparent_memory_usage,memory_usage,disk_usage,ufo_0_memory_usage,ufo_0_disk_usage,ufo_1_memory_usage,ufo_1_disk_usage,
D,14875704,1,54,80000008,80003072,17694720,3276800,17694720,3276800,0,0,
D,15017587,1,53,80000008,80003072,17367040,3604480,17367040,3604480,0,0,
D,15027718,1,52,80000008,80003072,17039360,3932160,17039360,3932160,0,0,
D,15120629,1,51,80000008,80003072,16711680,4259840,16711680,4259840,0,0,
D,15159169,1,50,80000008,80003072,16384000,4587520,16384000,4587520,0,0,
D,15294200,1,49,80000008,80003072,16056320,4915200,16056320,4915200,0,0,
D,15544773,1,48,80000008,80003072,15728640,5242880,15728640,5242880,0,0,
D,15553262,1,47,80000008,80003072,15400960,5570560,15400960,5570560,0,0,
D,15855238,1,46,80000008,80003072,15073280,5898240,15073280,5898240,0,0,
D,15943949,1,45,80000008,80003072,14745600,6225920,14745600,6225920,0,0,
D,15960487,1,44,80000008,80003072,14417920,6553600,14417920,6553600,0,0,
D,15988171,1,43,80000008,80003072,14090240,6881280,14090240,6881280,0,0,
D,16009816,1,42,80000008,80003072,13762560,7208960,13762560,7208960,0,0,
D,16013532,1,41,80000008,80003072,13434880,7536640,13434880,7536640,0,0,
D,16026823,1,40,80000008,80003072,13107200,7864320,13107200,7864320,0,0,
D,16077341,1,39,80000008,80003072,12779520,8192000,12779520,8192000,0,0,
D,16090796,1,38,80000008,80003072,12451840,8519680,12451840,8519680,0,0,
D,16976946,1,37,80000008,80003072,12124160,8847360,12124160,8847360,0,0,
D,24137115,1,36,80000008,80003072,11796480,9175040,11796480,9175040,0,0,
D,24203014,1,35,80000008,80003072,11468800,9502720,11468800,9502720,0,0,
D,24205595,1,34,80000008,80003072,11141120,9830400,11141120,9830400,0,0,
D,24213051,1,33,80000008,80003072,10813440,10158080,10813440,10158080,0,0,
D,24415277,1,32,80000008,80003072,10485760,10485760,10485760,10485760,0,0,
E,24463864,1,32,80000008,80003072,10485760,10485760,10485760,10485760,0,0,
M,24534316,1,33,80000008,80003072,10813440,10485760,10813440,10485760,0,0,
M,24670852,1,34,80000008,80003072,11141120,10485760,11141120,10485760,0,0,
M,24789435,1,35,80000008,80003072,11468800,10485760,11468800,10485760,0,0,
M,24907606,1,36,80000008,80003072,11796480,10485760,11796480,10485760,0,0,
M,25032003,1,37,80000008,80003072,12124160,10485760,12124160,10485760,0,0,
M,25146585,1,38,80000008,80003072,12451840,10485760,12451840,10485760,0,0,
M,25365447,1,39,80000008,80003072,12779520,10485760,12779520,10485760,0,0,
M,25485313,1,40,80000008,80003072,13107200,10485760,13107200,10485760,0,0,
M,25606558,1,41,80000008,80003072,13434880,10485760,13434880,10485760,0,0,
M,25733046,1,42,80000008,80003072,13762560,10485760,13762560,10485760,0,0,
M,25849111,1,43,80000008,80003072,14090240,10485760,14090240,10485760,0,0,
M,25969250,1,44,80000008,80003072,14417920,10485760,14417920,10485760,0,0,
M,26093765,1,45,80000008,80003072,14745600,10485760,14745600,10485760,0,0,
M,26215023,1,46,80000008,80003072,15073280,10485760,15073280,10485760,0,0,
M,26333095,1,47,80000008,80003072,15400960,10485760,15400960,10485760,0,0,
M,26451287,1,48,80000008,80003072,15728640,10485760,15728640,10485760,0,0,
M,26570714,1,49,80000008,80003072,16056320,10485760,16056320,10485760,0,0,
M,26684209,1,50,80000008,80003072,16384000,10485760,16384000,10485760,0,0,
M,26805312,1,51,80000008,80003072,16711680,10485760,16711680,10485760,0,0,
M,26929871,1,52,80000008,80003072,17039360,10485760,17039360,10485760,0,0,
M,27051186,1,53,80000008,80003072,17367040,10485760,17367040,10485760,0,0,
M,27166890,1,54,80000008,80003072,17694720,10485760,17694720,10485760,0,0,
M,27288127,1,55,80000008,80003072,18022400,10485760,18022400,10485760,0,0,
M,27426678,1,56,80000008,80003072,18350080,10485760,18350080,10485760,0,0,
M,27573018,1,57,80000008,80003072,18677760,10485760,18677760,10485760,0,0,
M,27714389,1,58,80000008,80003072,19005440,10485760,19005440,10485760,0,0,
M,27825637,1,59,80000008,80003072,19333120,10485760,19333120,10485760,0,0,
M,27951673,1,60,80000008,80003072,19660800,10485760,19660800,10485760,0,0,
M,28085321,1,61,80000008,80003072,19988480,10485760,19988480,10485760,0,0,
M,28203659,1,62,80000008,80003072,20316160,10485760,20316160,10485760,0,0,
M,28347785,1,63,80000008,80003072,20643840,10485760,20643840,10485760,0,0,
M,28476932,1,64,80000008,80003072,20971520,10485760,20971520,10485760,0,0,
